comentario,emocao,sentimento,emocao_lexico
🇲🇦,Marrocos,neutro,neutro
❤️,amor,positivo,amor
🌺,felicidade,positivo,felicidade
💕,carinho,positivo,amor
😃,empolgação,positivo,felicidade
❤,romance,positivo,amor
😁,satisfação,positivo,felicidade
🌲,Natal,positivo,felicidade
🛫,partida,neutro,neutro
👉,algo à direita,neutro,neutro
😢,pena,negativo,tristeza
📷,photo,neutro,neutro
🌴,Férias e Verão,positivo,felicidade
🚁,helicóptero,neutro,neutro
☁,sonho,positivo,esperança
👍🏼,Jóia,positivo,confiança
🙏,Pelo amor de Deus,negativo,desespero
💔,Decepção,negativo,tristeza
☺️,alegria,positivo,felicidade
👌,Ok,positivo,confiança
😙,afeto,positivo,amor
💪,força,positivo,confiança
🎈,Comemoração,positivo,felicidade
👏🏽,Aplausos,positivo,felicidade
💅🏻,confiança,positivo,confiança
👏🏿,Aplausos,positivo,felicidade
👏,Aplausos,positivo,felicidade
🍀,fortuna,positivo,esperança
👁,observar,neutro,neutro
🌾,colheitas,positivo,felicidade
🙌🏼,Aplausos,positivo,felicidade
✌️,paz,positivo,tranquilidade
👏🏾,Aplausos,positivo,felicidade
✈️,voos,neutro,neutro
📱,comunicação,neutro,neutro
🤤,Fome intensa,negativo,desespero
🏊,nadando contra a maré,neutro,neutro
😎,sucesso,positivo,confiança
💪🏾,força,positivo,confiança
4️⃣,teclado,neutro,neutro
🙏🏽,Pelo amor de Deus,negativo,desespero
🍻,brinde celebratório,positivo,felicidade
🇺🇸,país,neutro,neutro
🙏🏻,Pelo amor de Deus,negativo,desespero
💲,riqueza,positivo,confiança
🤔,dúvida,negativo,confusão
🇺🇲,Ilhas Virgens,neutro,neutro
🌻,vitalidade,positivo,felicidade
😖,angústia,negativo,angústia
🚕,táxi,neutro,neutro
🌼,frescor da primavera,positivo,felicidade
🙌🏻,Aplausos,positivo,felicidade
🌷,resiliente,positivo,esperança
💚,amor pela natureza,positivo,amor
👋,Saudação,positivo,felicidade
🌍,Terra,neutro,neutro
😄,Felicidade,positivo,felicidade
🙏🏾,oração,positivo,esperança
⛵,Hobby,positivo,felicidade
🛩,aviação,neutro,neutro
🐲,fantasia,positivo,felicidade
☕,Café da manhã,positivo,felicidade
🧈,Manteiga,neutro,neutro
✌,Tranquilidade,positivo,tranquilidade
😌,Paz,positivo,tranquilidade
✨,Maravilhoso,positivo,felicidade
💙,Confiança,positivo,confiança
😆,Diversão,positivo,felicidade
♨,Fontes quentes,positivo,felicidade
💥,Uma surpresa avassaladora,positivo,surpresa
🤗,Gratidão,positivo,gratidão
